hg/ha_yield
13384
199034
25368
166825
75696
218925
85694
27079
334130
18386
113661
66624
26188
144737
8223
80249
21285
91053
23309
27079
17239
28457
262528
19910
30000
70000
10000
76738
17122
64333
22008
6977
8393
147395
16250
20308
21870
14323
50045
59254
38750
103928
84626
94967
322204
19969
16015
24137
24025
37581
55089
18735
27621
12627
21675
76746
23600
6804
21288
15608
252775
24139
100603
57198
13241
122745
79229
51316
32812
139499
112339
6656
6167
21321
20000
102462
80643
42576
11149
100000
11000
62500
82814
28226
29071
19488
46461
197704
33286
9028
143579
9750
72917
401380
95135
185920
191949
53362
92833
14400
33333
83305
48000
95296
114143
200000
22928
32215
23796
37746
1430
13350
67542
62154
30000
22883
35876
19522
18818
24896
49505
32435
211244
59520
22493
242957
18740
34475
33357
41536
100000
194906
17791
25186
123522
21589
220029
26100
6720
22814
7901
159562
68826
28457
11521
10319
100000
4286
21333
51212
108333
11790
7968
117046
90080
23043
13330
169363
174739
35111
23352
24852
111359
99179
15000
10445
36059
21545
18555
7901
17111
9082
14279
27105
27160
77740
20382
51316
24883
22977
36303
367500
47544
18436
20765
8305
169913
94256
51899
35546
31759
202848
57377
333333
280384
10004
158256
188269
97421
126406
44049
76776
21972
20000
41622
8400
31195
16111
55238
16585
33787
27203
154663
124153
75388
253007
15549
31759
23497
6026
335407
12000
77851
12343
24078
121718
26817
107143
384055
11287
24761
204955
35465
26789
8071
126099
7995
79053
7082
58351
128200
43577
8519
56123
91587
77902
250085
13330
21058
218355
134815
65029
61511
17086
69768
250819
26526
27612
91823
56332
30707
24615
24790
15445
43667
19073
10000
15831
140099
40629
11137
20731
266540
12801
41706
23718
16168
27957
17697
30000
132505
123289
29071
86849
58855
192973
32366
205631
16158
39482
20000
88588
97174
15000
2463
12351
37352
21122
131963
176673
157629
100000
28805
34544
20196
21505
101661
235756
75795
79711
45365
192204
19924
134783
23333
34019
55862
131278
210808
125529
5679
15551
445686
374583
9892
56178
16448
122528
17050
195000
100000
398758
26365
349826
38295
17030
41441
326986
61429
24444
21736
48316
8738
63432
5808
235756
9106
19113
10000
28784
72244
165413
140332
17297
15038
50965
277566
86976
101582
14992
239523
38704
10209
32509
48788
32509
41799
83705
11510
29886
72007
20833
85744
119283
11222
5015
16425
156439
28446
140961
77192
47631
66483
43750
25797
14588
90080
26522
25324
164101
18216
18448
408173
17853
28022
29782
185053
34767
34918
56615
14754
28022
30987
130913
56326
34265
10734
57968
1659
37322
21333
322204
42092
36387
227606
66228
11998
15000
75542
85962
103928
46197
107528
162540
50427
46115
21321
10415
11540
33064
28395
169416
27922
250409
64256
32509
144950
205463
195385
122356
61120
159364
199939
207792
192894
25401
213525
173596
185272
14013
36909
438841
10000
92479
140000
7624
230430
158338
39246
15153
20833
51872
11915
115053
21696
29712
20993
4750
7624
54185
188908
62061
81455
11811
11001
25939
63209
8443
16571
71520
223519
100027
79130
31158
13983
12721
3983
41548
37468
304978
16454
6215
92069
185920
55067
23165
28354
21288
189247
16910
17000
10959
218925
26578
26271
44474
96232
116431
43201
150277
26366
114957
12147
168339
43294
11868
86856
221117
7161
24774
2836
92184
8103
7968
56912
19360
11202
47059
77444
40833
107774
165820
28810
23005
7639
250876
103444
55543
56859
20195
34707
167924
418505
16000
17322
137949
18334
165917
6078
64106
18235
152304
347354
193849
18239
67531
175000
168802
60014
205631
39227
50153
25726
8947
22768
92456
93421
44359
121397
16111
123810
24828
15307
43487
31329
69454
26100
298464
17975
16795
343433
193104
51520
17326
21736
15296
16000
19184
133724
9955
39948
200600
40638
330734
83331
176963
9410
20238
24828
44007
128373
24828
91667
5000
28626
340000
6608
164141
15711
24514
154679
402970
347555
70036
63359
27182
37125
477612
6412
408993
35000
12657
80659
120253
19556
141677
262528
158337
95750
148462
123255
50432
31158
102177
15989
22398
8939
107692
26789
33152
71298
120628
87585
7967
20000
39000
8602
162720
69231
146230
2656
27113
20000
34539
16667
48263
230430
381224
20728
21051
10628
175712
26053
91471
153007
22727
20087
8422
72395
60559
4091
10000
31398
201465
29100
27999
38616
132721
66228
62700
38616
156153
24138
68702
258859
15000
25000
91522
34761
260759
8981
30279
159195
7624
57506
28508
26544
14121
30694
8502
91823
32162
53424
132389
17212
84609
14013
65437
29859
39246
124670
13629
397361
41937
323303
10949
14295
10700
21197
136186
13090
15727
170047
8948
35565
62159
39643
29461
5287
140463
30800
24561
110676
146798
8565
195328
29566
92069
118759
159870
26602
36429
8947
58060
118909
89098
73838
97208
16015
28226
164101
25557
6373
37025
32604
100000
47606
23267
25302
21218
5999
78788
57895
4448
88376
237316
32222
6553
36447
12000
28125
415861
8472
28162
40630
22833
202826
158631
146506
183006
390096
28563
110351
298464
52231
385818
8566
50045
40010
22051
2652
194038
184997
318545
219707
19537
154679
214829
248610
5730
379017
2519
38798
28333
21870
3665
46000
111215
136634
325935
8513
60017
140264
251485
9106
